City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,Suluova,TR,2022-07-28 19:50:14,40.8313,35.6479,67.86,73,20,12.66,few clouds
102,Castro,BR,2022-07-28 19:49:58,-24.7911,-50.0119,68.83,54,100,8.08,overcast clouds
103,Kapaa,US,2022-07-28 19:50:14,22.0752,-159.319,80.58,74,100,10.36,light rain
104,Almaznyy,RU,2022-07-28 19:50:15,48.0448,40.045,73.8,53,22,5.03,few clouds
105,Tautira,PF,2022-07-28 19:50:15,-17.7333,-149.15,77.34,77,23,24.23,light rain
106,Cabo San Lucas,MX,2022-07-28 19:50:16,22.8909,-109.9124,93.61,59,18,5.99,few clouds
107,Gombong,ID,2022-07-28 19:50:16,-7.6072,109.5142,72.91,93,77,1.57,broken clouds
108,Montepuez,MZ,2022-07-28 19:50:17,-13.1256,38.9997,66.76,65,61,8.63,broken clouds
109,Shalakusha,RU,2022-07-28 19:50:17,62.2247,40.2539,65.25,96,100,2.68,light rain
110,Auki,SB,2022-07-28 19:50:18,-8.7676,160.7034,76.24,87,76,4.63,broken clouds
111,Varfurile,RO,2022-07-28 19:50:19,46.3167,22.5167,73.83,51,85,3.15,overcast clouds
112,Dingle,PH,2022-07-28 19:50:19,10.9995,122.6711,77.61,90,100,7.38,overcast clouds
113,Igrim,RU,2022-07-28 19:50:20,63.1906,64.4162,59.07,64,2,3.29,clear sky
114,Saskylakh,RU,2022-07-28 19:50:20,71.9167,114.0833,61.2,82,100,6.11,light rain
115,Krasnoselkup,RU,2022-07-28 19:50:20,65.7,82.4667,52.21,82,0,9.35,clear sky
116,Shambu,ET,2022-07-28 19:50:21,9.5667,37.1,51.08,96,100,0.98,light rain
117,Arraial Do Cabo,BR,2022-07-28 19:50:21,-22.9661,-42.0278,84.16,57,0,13.8,clear sky
118,Sohag,EG,2022-07-28 19:50:22,26.557,31.6948,91.69,14,4,6.98,clear sky
119,Ahuimanu,US,2022-07-28 19:50:22,21.4447,-157.8378,83.91,64,20,11.5,few clouds
120,Erdenet,MN,2022-07-28 19:50:23,49.0333,104.0833,47.62,91,100,2.44,overcast clouds
121,Portland,US,2022-07-28 19:50:22,45.5234,-122.6762,96.46,47,20,4.61,few clouds
122,Palana,RU,2022-07-28 19:50:23,59.1167,159.9667,48.2,73,89,2.37,overcast clouds
123,Baglan,AF,2022-07-28 19:50:24,36.1307,68.7083,88.86,26,0,2.17,clear sky
124,Touros,BR,2022-07-28 19:46:57,-5.1989,-35.4608,77.83,78,5,15.46,clear sky
125,Eldorado,BR,2022-07-28 19:48:37,-23.7869,-54.2836,84.69,35,100,3.42,overcast clouds
126,Sao Raimundo Nonato,BR,2022-07-28 19:50:24,-9.0153,-42.6994,88.65,25,0,7.78,clear sky
127,Lompoc,US,2022-07-28 19:46:26,34.6391,-120.4579,86.02,72,0,14.97,mist
128,Ikongo,MG,2022-07-28 19:50:25,-21.8833,47.4333,61.83,99,67,0.54,light rain
129,Constitucion,CL,2022-07-28 19:49:19,-35.3333,-72.4167,58.28,62,0,13.44,clear sky
130,Jamestown,US,2022-07-28 19:50:25,42.097,-79.2353,82.06,42,20,16.11,few clouds
131,Avera,US,2022-07-28 19:50:26,33.194,-82.5271,92.71,52,100,5.5,overcast clouds
132,Bajil,YE,2022-07-28 19:50:26,15.0584,43.2851,91.13,43,96,7.87,overcast clouds
133,Narsaq,GL,2022-07-28 19:50:26,60.9167,-46.05,49.42,60,52,6.08,broken clouds
134,Tura,IN,2022-07-28 19:50:27,25.5198,90.2201,74.19,92,24,2.48,few clouds
135,Bengkulu,ID,2022-07-28 19:50:27,-3.8004,102.2655,75.29,90,87,5.14,overcast clouds
136,Yulara,AU,2022-07-28 19:50:27,-25.2406,130.9889,47.59,34,89,9.66,overcast clouds
137,Oxford,GB,2022-07-28 19:47:37,51.7522,-1.256,69.96,51,0,9.22,clear sky
138,Sistranda,NO,2022-07-28 19:51:28,63.7256,8.834,57.16,66,94,6.31,overcast clouds
139,Jumla,NP,2022-07-28 19:51:28,29.2747,82.1838,62.8,98,100,1.68,overcast clouds
140,Dhidhdhoo,MV,2022-07-28 19:51:29,6.8833,73.1,80.92,80,100,17.54,overcast clouds
141,Bethel,US,2022-07-28 19:50:30,41.3712,-73.414,90.36,69,0,10.36,clear sky
142,Poum,NC,2022-07-28 19:51:29,-20.2333,164.0167,70.99,76,5,10.11,clear sky
143,Ilulissat,GL,2022-07-28 19:50:42,69.2167,-51.1,45.66,62,96,7.0,overcast clouds
144,Saint-Philippe,RE,2022-07-28 19:49:48,-21.3585,55.7679,67.21,84,4,8.86,clear sky
145,Tuktoyaktuk,CA,2022-07-28 19:51:30,69.4541,-133.0374,44.6,93,100,10.36,light rain
146,Carnarvon,AU,2022-07-28 19:51:30,-24.8667,113.6333,70.07,55,100,6.98,overcast clouds
147,Pacific Grove,US,2022-07-28 19:50:23,36.6177,-121.9166,82.22,85,40,10.36,scattered clouds
